Location Code,Location,Population,House Prices,A_CaffeNero,A_Costa,A_Esquires,A_Greggs,A_MuffinBreak,A_PretAManger,A_Starbucks,C_CaffeNero,C_Costa,C_Esquires,C_Greggs,C_MuffinBreak,C_PretAManger,C_Starbucks
E08000026,Coventry,"366,785","£180,000.00",0.27,3,0.27,0.55,0,0.27,1.91,1,11,1,2,0,1,7
S12000015,Fife,"371,910","£164,638.00",0.27,2.69,0,4.84,0,0.27,0.81,1,10,0,18,0,1,3
E06000049,Cheshire East,"380,790","£235,000.00",1.05,5.78,0,3.15,0,0,1.05,4,22,0,12,0,0,4
E07000048,Christchurch,"381,500","£352,000.00",0.26,0.79,0,0.26,0,0,0,1,3,0,1,0,0,0
E08000034,Kirklees,"438,727","£153,000.00",0.46,1.82,0,0.23,0,0,1.14,2,8,0,1,0,0,5
E06000023,"Bristol, City of","463,405","£266,500.00",0.22,1.29,0,0.43,0,0,1.08,1,6,0,2,0,0,5
E08000012,Liverpool,"494,814","£125,000.00",0.61,3.23,0.2,0.2,0,0,2.83,3,16,1,1,0,0,14
E06000054,Wiltshire,"498,064","£272,000.00",0.8,3.81,0,3.81,0,0.2,1.61,4,19,0,19,0,1,8
S12000036,City of Edinburgh,"518,500","£273,753.00",1.93,3.66,0,1.35,0,0.19,2.7,10,19,0,7,0,1,14
E06000047,County Durham,"526,980","£118,000.00",0.19,2.47,0.19,4.17,0,0,1.14,1,13,1,22,0,0,6
E08000032,Bradford,"537,173","£136,850.00",0.37,1.86,0.19,0.93,0,0,0.56,2,10,1,5,0,0,3
E08000003,Manchester,"547,627","£175,000.00",2.19,2.37,0.18,0,0,0,1.64,12,13,1,0,0,0,9
E06000052,Cornwall,"565,968","£225,000.00",0,1.59,0,0.18,0,0,0,0,9,0,1,0,0,0
E08000019,Sheffield,"582,506","£160,000.00",0.86,5.49,0,0.17,0,0.17,1.55,5,32,0,1,0,1,9
S12000046,Glasgow City,"626,410","£164,503.00",0.96,2.08,0,0.64,0,0.16,2.23,6,13,0,4,0,1,14
E08000035,Leeds,"789,194","£177,500.00",0.89,2.28,0,0.63,0,0,2.28,7,18,0,5,0,0,18
E08000025,Birmingham,"1,141,374","£178,000.00",0.61,2.28,0,0.53,0,0,0.96,7,26,0,6,0,0,11
E09000002,Barking and Dagenham,212906,"£327,000",0,0.47,0,0,0,0,0.47,0,1,0,0,0,0,1
E09000003,Barnet,395869,"£532,000",0.51,2.02,0,0,0,0,0.51,2,8,0,0,0,0,2
E09000004,Bexley,248287,"£332,000",0.4,3.22,0,0,0,0,0.81,1,8,0,0,0,0,2
E09000005,Brent,329771,"£447,000",0.3,0.91,0,0,0,0,0.91,1,3,0,0,0,0,3
E09000006,Bromley,332336,"£430,000",0.9,4.21,0,0,0,0.3,1.2,3,14,0,0,0,1,4
E09000007,Camden,270029,"£881,000",0.74,0,0,0,0,0,0.37,2,0,0,0,0,0,1
E09000008,Croydon,386710,"£358,000",0.78,2.33,0,0,0,0,0.26,3,9,0,0,0,0,1
E09000009,Ealing,341806,"£454,000",0,1.17,0,0,0,0,0,0,4,0,0,0,0,0
E09000010,Enfield,333794,"£386,000",0.3,3,0,0,0,0,0.9,1,10,0,0,0,0,3
E09000011,Greenwich,287942,"£416,000",0,0.35,0,0,0,0,0.35,0,1,0,0,0,0,1
E09000012,Hackney,281120,"£638,000",0,0.36,0,0,0,0,0.36,0,1,0,0,0,0,1
E09000013,Hammersmith and Fulham,185143,"£747,000",0,0.54,0,0,0,0,0,0,1,0,0,0,0,0
E09000014,Haringey,268647,"£565,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
E09000015,Harrow,251160,"£455,000",0.4,3.19,0,0,0,0,0.4,1,8,0,0,0,0,1
E09000016,Havering,259552,"£353,000",0.39,5.78,0,0.39,0.39,0,1.16,1,15,0,1,1,0,3
E09000017,Hillingdon,306870,"£418,000",2.61,5.54,0,0,0,0.33,2.61,8,17,0,0,0,1,8
E09000018,Hounslow,271523,"£423,000",0,1.47,0,0,0,0,0.74,0,4,0,0,0,0,2
E09000019,Islington,242467,"£632,000",0,0,0,0,0,0,0.41,0,0,0,0,0,0,1
E09000020,Kensington and Chelsea,156129,"£1,369,000",0,0,0,0,0,0,1.28,0,0,0,0,0,0,2
E09000021,Kingston upon Thames,177507,"£506,000",1.69,1.13,0,0,0,0,0.56,3,2,0,0,0,0,1
E09000022,Lambeth,326034,"£525,000",0,0.61,0,0,0,0,0.31,0,2,0,0,0,0,1
E09000023,Lewisham,305842,"£424,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0
E09000024,Merton,206548,"£509,000",0.48,0.48,0,0,0,0,0.48,1,1,0,0,0,0,1
E09000025,Newham,353134,"£387,000",0.28,0.28,0,0,0,0,0.57,1,1,0,0,0,0,2
E09000026,Redbridge,305222,"£418,000",0,1.97,0,0.33,0,0,0.33,0,6,0,1,0,0,1
E09000027,Richmond upon Thames,198019,"£633,000",0.51,1.52,0.51,0,0,0,1.01,1,3,1,0,0,0,2
E09000028,Southwark,318830,"£489,000",0,0,0,0,0,0,0.94,0,0,0,0,0,0,3
E09000029,Sutton,206349,"£377,000",0.48,0,0.48,0,0,0,1.45,1,0,1,0,0,0,3
E09000030,Tower Hamlets,324745,"£473,000",0,0.31,0,0,0,0,0.31,0,1,0,0,0,0,1
E09000031,Waltham Forest,276983,"£437,000",0,0.72,0,0,0,0,0,0,2,0,0,0,0,0
E09000032,Wandsworth,329677,"£624,000",0,0,0.3,0,0,0,0,0,0,1,0,0,0,0
E09000033,Westminster,261317,"£1,085,000",0,0.77,0,0,0,0,0.77,0,2,0,0,0,0,2
